index_oper,geo_lat,geo_lon,region
162816,58.543269,36.388758,35
162820,58.962433,36.600661,35
162825,58.95383,36.582803,35
162826,58.828741,36.540322,35
162840,58.841753,36.441884,35
162900,61.004663,36.45226,35
162914,60.863892,35.99817,35
162920,61.251032,36.635462,35
162930,60.957197,36.554237,35
162936,60.91913,36.773587,35
162940,60.915469,36.831259,35
162948,61.223437,37.543003,35
162951,60.838825,37.072034,35
162952,60.734692,37.102829,35
162969,61.004663,36.45226,35
163000,64.538666,40.514181,29
163002,64.528704,40.567936,29
163009,64.527717,40.611361,29
163011,64.502624,40.638158,29
163012,64.587512,40.585157,29
163013,64.587925,40.520954,29
163015,64.516381,40.639289,29
163016,64.49297,40.710355,29
163017,64.536663,40.427835,29
163018,64.613287,40.48451,29
163019,64.587381,40.469499,29
163020,64.578773,40.513094,29
163021,64.614301,40.497104,29
163022,64.641514,40.535785,29
163023,64.647045,40.506932,29
163025,64.660933,40.54299,29
163026,64.677915,40.506617,29
163030,64.502132,40.688319,29
163035,64.49778,40.596278,29
163038,64.459791,40.657714,29
163039,64.431802,40.618754,29
163044,64.532339,40.339019,29
163045,64.565553,40.536369,29
163046,64.543831,40.538022,29
163049,64.550515,40.328841,29
163050,64.51623,40.530988,29
163051,64.549351,40.571655,29
163053,64.592167,40.712475,29
163055,71.53816,52.344373,29
163057,64.50475,40.673946,29
163058,64.482185,40.775276,29
163059,64.597415,40.587906,29
163060,64.538743,40.565789,29
163062,64.511814,40.676228,29
163064,64.626449,40.5217,29
163065,64.533956,40.620389,29
163071,64.548428,40.545415,29
163072,64.558298,40.541346,29
163503,64.382928,41.021262,29
163505,64.355791,41.15353,29
163512,64.41331,40.460866,29
163513,64.390779,40.624458,29
163515,64.483064,40.507309,29
163522,64.534115,40.247857,29
163523,64.537525,40.163344,29
163530,64.625716,40.672249,29
163534,64.291658,40.891599,29
163556,64.95126,36.831268,29
163960,64.552084,40.571547,29
164000,60.794505,40.088712,29
164010,60.973725,40.254694,29
164011,60.977864,40.227879,29
164012,60.984533,40.319642,29
164020,60.993522,40.397517,29
164023,60.830283,40.969887,29
164026,61.094823,40.866536,29
164033,60.943164,40.090616,29
164059,60.971062,40.242764,29
164070,65.026749,35.714887,29
164110,61.505043,38.945345,29
164111,61.501661,38.965144,29
164119,61.505043,38.945345,29
164124,61.910657,39.10361,29
164142,61.514532,39.132671,29
164154,60.948351,38.510147,29
164170,62.76093,40.339989,29
164171,62.764754,40.328086,29
164173,62.768731,40.316237,29
164200,61.661653,40.195935,29
164203,61.675051,40.200992,29
164207,61.661653,40.195935,29
164210,62.224867,40.260048,29
164223,61.614975,40.058268,29
164232,61.642079,40.303508,29
164239,61.661653,40.195935,29
164250,62.604146,40.310003,29
164252,63.071514,40.331275,29
164254,63.451958,40.308539,29
164255,63.436258,40.301837,29
164259,62.708777,40.294408,29
164262,62.709182,40.27434,29
164268,62.58813,39.846778,29
164270,62.608087236,39.913147504,29
164273,62.394181,39.825308,29
164284,62.1228,39.321658,29
164288,62.933461,40.143527,29
164294,62.077475,38.18935,29
164299,62.334459,38.22601,29
164500,64.557695,39.797954,29
164501,64.562463,39.825398,29
164502,64.538252,39.798529,29
164504,64.556003,39.81151,29
164505,64.541481,39.824652,29
164507,64.556095,39.831946,29
164509,64.59481,39.809255,29
164514,64.550963,39.772774,29
164515,64.54595,39.776862,29
164519,64.56592,39.83819,29
164520,64.56592,39.83819,29
164521,64.556775,39.847577,29
164522,64.545803,39.758303,29
164523,64.539996,39.773035,29
164524,64.601794,39.801413,29
164526,64.623662,39.181369,29
164530,64.226379,41.655652,29
164534,64.263368,41.518318,29
164537,63.470796,41.780752,29
164540,64.226379,41.655652,29
164541,63.311479,41.385448,29
164553,64.270226,41.517815,29
164554,64.293477,41.667663,29
164558,63.350404,42.012885,29
164559,64.294947,41.923027,29
164563,64.186384,42.333503,29
164567,64.185236,41.660027,29
164570,62.85027,42.724055,29
164577,62.667121,43.414069,29
164585,62.643489,42.95167,29
164590,63.050852,42.161431,29
164591,63.034805,42.344238,29
164593,62.964451,42.607112,29
164600,64.002487,44.437375,29
164608,63.896285,44.118186,29
164610,64.696516,43.394692,29
164618,63.891306,44.693117,29
164620,64.882774,43.237442,29
164626,64.228264,44.228733,29
164628,64.035562,44.094084,29
164630,63.574057,45.634354,29
164637,63.418227,46.141381,29
164646,64.02538,43.182438,29
164647,63.573737,45.691397,29
164650,64.04633,44.406132,29
164659,64.002487,44.437375,29
164670,64.89566,45.762435,29
164689,64.89566,45.762435,29
164750,65.843084,44.240842,29
164751,65.861946,44.223325,29
164757,65.572744,44.689739,29
164761,66.04186,43.44842,29
164762,65.892765,44.115689,29
164776,65.84308,44.24086,29
164777,64.557695,39.797954,29
164820,63.71997,39.65364,29
164821,63.728552,39.637039,29
164830,63.776451,39.251159,29
164840,63.905517,38.098396,29
164842,63.933858,38.047129,29
164849,63.905517,38.098396,29
164860,63.831573,38.472337,29
164867,63.579641,39.02587,29
164876,63.614653,39.121325,29
164884,64.018805,38.098198,29
164886,63.905517,38.098396,29
164888,64.38189,37.43781,29
164893,63.722471,37.057311,29
164894,63.717931,37.444611,29
164895,63.693019,37.615425,29
164900,64.416962,40.820444,29
164901,64.417579,40.786299,29
164903,64.408124,40.818395,29
165100,61.027063,42.499619,29
165107,61.662934,41.518578,29
165108,61.150319,41.328468,29
165113,60.982063,42.43592,29
165115,61.103089,42.131795,29
165120,61.207333,41.844649,29
165121,61.19968,41.58986,29
165129,61.051408,41.343667,29
